Latitude (decimal degrees): 45.068
Longitude (decimal degrees): 7.680
Elevation (m): 252.0
month,year
1,2013
2,2014
3,2012
4,2010
5,2007
6,2008
7,2007
8,2008
9,2014
10,2014
11,2014
12,2016
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20130101:0000,1.52,77.86,0.0,-0.0,0.0,248.97,1.63,358.0,99022.0
20130101:0100,1.47,79.68,0.0,-0.0,0.0,253.45,1.62,2.0,98986.0
20130101:0200,1.43,81.49,0.0,-0.0,0.0,257.93,1.62,7.0,98950.0
20130101:0300,1.38,83.31,0.0,-0.0,0.0,262.41,1.61,357.0,98912.0
20130101:0400,1.34,85.13,0.0,-0.0,0.0,266.88,1.6,347.0,98873.0
20130101:0500,1.3,86.95,0.0,-0.0,0.0,271.36,1.6,337.0,98834.0
20130101:0600,1.25,88.77,0.0,-0.0,0.0,275.84,1.59,344.0,98831.0
20130101:0700,1.21,90.59,0.0,-0.0,0.0,280.32,1.59,352.0,98827.0
20130101:0800,3.53,84.24,76.0,131.84,58.0,303.55,1.1,360.0,98824.0
20130101:0900,4.12,83.36,62.0,0.0,62.0,305.43,1.26,18.0,98779.0
20130101:1000,4.71,82.49,138.0,15.06,133.0,307.32,1.41,36.0,98734.0
20130101:1100,5.31,81.61,306.0,394.24,160.0,309.2,1.56,54.0,98688.0
20130101:1200,5.5,81.88,328.0,537.72,132.0,315.43,1.27,75.0,98662.0
20130101:1300,5.68,82.15,198.0,142.87,153.0,321.67,0.99,97.0,98637.0
20130101:1400,5.87,82.42,70.0,0.0,70.0,327.9,0.7,118.0,98611.0
20130101:1500,5.5,86.43,15.0,0.0,15.0,327.8,0.96,101.0,98614.0
20130101:1600,5.13,90.43,0.0,-0.0,0.0,327.7,1.21,83.0,98617.0
20130101:1700,4.76,94.44,0.0,-0.0,0.0,327.6,1.46,65.0,98620.0
20130101:1800,4.76,95.03,0.0,-0.0,0.0,326.08,1.3,47.0,98637.0
20130101:1900,4.77,95.61,0.0,-0.0,0.0,324.57,1.14,30.0,98653.0
20130101:2000,4.77,96.2,0.0,-0.0,0.0,323.05,0.98,12.0,98669.0
20130101:2100,4.8,95.87,0.0,-0.0,0.0,325.15,0.99,6.0,98675.0
