,,,temp,temp,temp,temp,temp,temp,temp,temp
,,,count,mean,std,min,25%,50%,75%,max
Year,Month,Day,,,,,,,,
2021,1,1,24.0,0.9250000000000002,0.6771102280054299,0.0,0.5,1.0,1.15,2.0
2021,1,2,24.0,1.5583333333333333,0.992106527707,0.2,0.8,1.2,2.65,2.8
2021,1,3,24.0,1.2916666666666667,1.2384831769992455,-0.2,0.15000000000000002,0.8,2.8,3.0
2021,1,4,24.0,-0.041666666666666664,0.44125972502318433,-0.6,-0.4,-0.2,0.2,1.0
2021,1,5,24.0,-0.6416666666666667,0.37753970901622785,-1.6,-0.8500000000000001,-0.5,-0.4,-0.2
2021,1,6,24.0,-0.425,0.3686048903872428,-1.0,-0.8,-0.5,-0.07500000000000001,0.2
2021,1,7,24.0,-1.0833333333333333,0.3583375463183411,-2.0,-1.05,-1.0,-0.95,-0.4
2021,1,8,24.0,-1.2583333333333335,0.8717382268960586,-2.4,-2.0,-1.5,-0.5,0.2
2021,1,9,24.0,-1.2625,0.5716585329205448,-2.0,-1.825,-1.2999999999999998,-0.95,-0.2
2021,1,10,24.0,-1.4666666666666668,0.6585007125324901,-2.6,-2.0,-1.7000000000000002,-1.0,0.2
2021,1,11,24.0,-2.2,0.8129388446970603,-3.0,-2.8499999999999996,-2.2,-2.0,-0.2
2021,1,12,24.0,-0.3833333333333333,1.7887733632094192,-2.2,-2.0,-1.3,1.15,3.0
2021,1,13,24.0,6.095833333333334,1.1319391467230286,4.6,5.0,6.1,7.2,8.0
2021,1,14,24.0,5.95,3.6208334375677507,-1.0,3.85,6.4,8.850000000000001,11.0
2021,1,15,24.0,0.20833333333333334,0.5157659282597321,-0.6,-0.05,0.0,0.65,1.0
2021,1,16,24.0,-0.8083333333333332,0.9259151368131477,-1.8,-1.45,-1.0,-0.55,1.6
2021,1,17,24.0,-0.1583333333333334,1.710305507076508,-2.2,-1.6,-0.9,1.15,3.0
2021,1,18,24.0,2.075,1.0040136842996064,0.4,1.5,2.0,2.8499999999999996,3.8
2021,1,19,24.0,1.275,0.77529797918074,0.2,0.6,1.0,2.0,2.6
2021,1,20,24.0,0.7333333333333334,0.7659416862050705,-0.2,0.0,0.6,1.4,2.2
2021,1,21,24.0,-0.4083333333333334,0.4548450922797942,-1.0,-0.8,-0.5,0.0,0.4
2021,1,22,24.0,-0.8999999999999999,0.5532512598464997,-2.0,-1.25,-0.8,-0.6,0.0
2021,1,23,24.0,2.1416666666666666,1.6048612744237203,-1.2,1.5,2.2,3.0,4.8
2021,1,24,24.0,2.2416666666666667,1.4154171812937164,0.2,0.95,2.1,3.0,4.8
2021,1,25,24.0,1.6000000000000003,1.316120782087829,0.0,0.4,1.2999999999999998,2.1,4.2
2021,1,26,24.0,1.6500000000000001,0.7807465769321722,0.4,1.0,1.4,2.05,3.2
2021,1,27,24.0,0.9750000000000001,1.1349200316590018,-0.4,0.0,0.7,1.5499999999999998,3.4
2021,1,28,24.0,1.4166666666666667,1.55693865358096,-0.8,0.0,1.7000000000000002,2.2,4.4
2021,1,29,24.0,6.025000000000001,1.6973764922732195,3.4,4.15,6.4,7.0,9.0
2021,1,30,24.0,5.166666666666667,1.4892854039749244,2.0,5.0,5.5,6.0,7.0
2021,1,31,24.0,3.5250000000000004,1.8722806367125353,1.0,2.0,3.4000000000000004,4.6499999999999995,7.2
2021,2,1,24.0,2.3000000000000003,1.0095199031136577,1.0,1.55,2.1,3.05,4.2
2021,2,2,24.0,3.0750000000000006,1.1124786270540994,1.8,2.0,2.8,3.8499999999999996,5.0
2021,2,3,24.0,2.7916666666666665,0.2976964702608969,2.0,2.8,2.9,3.0,3.0
2021,2,4,24.0,3.9166666666666665,1.0196617796737977,2.6,3.0,3.9000000000000004,5.0,5.0
2021,2,5,24.0,4.458333333333333,0.49862128755779883,3.6,4.0,4.5,5.0,5.0
2021,2,6,24.0,3.9333333333333336,0.17362294645648635,3.6,3.8,3.9,4.0,4.2
2021,2,7,24.0,2.6750000000000003,0.4711226185815434,2.0,2.4,2.6,2.8,3.8
2021,2,8,24.0,3.283333333333333,1.481382041751279,1.8,2.0,3.0,4.0,7.0
2021,2,9,24.0,3.8625000000000003,1.5586539622100357,2.0,2.75,3.6,4.85,7.1
2021,2,10,24.0,3.4,2.170353607735084,1.2,1.875,2.8499999999999996,3.8,8.5
2021,2,11,24.0,2.3208333333333333,3.9708699262270595,-4.2,-1.55,2.4000000000000004,5.95,7.4
2021,2,12,24.0,-0.5833333333333334,2.062431377865891,-3.0,-2.0,-1.0,1.0,3.0
2021,2,13,24.0,-4.233333333333333,1.8355585968088408,-6.0,-5.0,-4.5,-4.0,4.0
2021,2,14,24.0,-2.6666666666666665,2.3874065730259555,-5.6,-5.0,-2.4,-1.05,1.2
2021,2,15,24.0,-0.5,1.666028863469371,-2.6,-2.0,-0.3,0.65,2.6
2021,2,16,24.0,1.5666666666666667,1.71911672635705,-0.8,0.0,1.9000000000000001,3.0,4.4
2021,2,17,24.0,4.425,2.153510783732502,2.0,2.2,4.1,6.2,9.0
2021,2,18,24.0,4.358333333333333,0.6378746412666164,3.4,4.0,4.1,5.0,5.4
2021,2,19,24.0,4.791666666666667,1.1454699687356984,3.5,4.0,4.300000000000001,5.6,7.0
2021,2,20,24.0,4.941666666666666,2.573259929868467,1.5,2.1750000000000003,5.199999999999999,7.1,8.7
2021,2,21,24.0,6.195833333333334,1.922516278365338,3.4,4.574999999999999,6.2,7.675000000000001,9.1
2021,2,22,24.0,7.216666666666666,1.1465133028548722,5.8,6.0,7.5,8.05,9.2
2021,2,23,24.0,10.108333333333333,1.861256393493073,7.8,8.35,10.100000000000001,11.6,13.6
2021,2,24,24.0,12.441666666666668,1.4482122912679998,10.8,11.0,13.0,13.35,15.4
2021,2,25,24.0,12.841666666666667,1.6544844636864107,10.4,11.700000000000001,12.6,13.850000000000001,16.2
2021,2,26,24.0,13.058333333333332,1.845774649834322,10.0,11.9,12.8,14.25,17.0
2021,2,27,24.0,11.441666666666668,1.7387943515842952,5.1,10.8,11.8,12.25,13.8
