T_e;T_w;COP;Pt
-15;30;2.62;9.45
-10;30;2.92;10.5
-7;30;3.16;11.3
-5;30;3.32;11.9
-2;30;3.6;12.8
0;30;3.79;13.5
2;30;4;14.2
7;30;4.55;16.1
12;30;5.24;18.4
-15;35;2.36;9.29
-10;35;2.65;10.4
-7;35;2.86;11.2
-5;35;3;11.7
-2;35;3.24;12.6
0;35;3.43;13.3
2;35;3.62;14
7;35;4.23;15.9
12;35;4.74;18.1
-15;40;2.13;9.14
-10;40;2.38;10.2
-7;40;2.58;11
-5;40;2.72;11.6
-2;40;2.94;12.5
0;40;3.09;13.1
2;40;3.26;13.8
7;40;3.74;15.7
12;40;4.27;17.8
-15;45;2;9
-10;45;2.16;10.1
-7;45;2.32;10.8
-5;45;2.45;11.4
-2;45;2.65;12.3
0;45;2.79;12.9
2;45;2.94;13.6
7;45;3.38;15.4
12;45;3.82;17.4
-15;50;1.9;8
-10;50;2;9
-7;50;2.1;10
-5;50;2.2;11.2
-2;50;2.37;12
0;50;2.5;12.6
2;50;2.64;13.3
7;50;2.99;15
12;50;3.42;17
-15;55;1.8;7
-10;55;1.9;8
-7;55;2;9
-5;55;2.1;10
-2;55;2.2;11
0;55;2.3;12
2;55;2.35;12.9
7;55;2.69;14.7
12;55;3;16.6
